"pos_date","store","male_num","female_num"
"2014-05-03","S015",359,438
"2014-05-03","S022",154,20
"2014-05-03","S034",160,110
"2014-05-03","S003",295,189
"2014-05-03","S007",193,121
"2014-05-03","S013",247,30
"2014-05-03","S031",253,78
"2014-05-03","S030",620,138
"2014-05-03","S028",193,89
"2014-05-03","S001",259,227
"2014-05-03","S011",182,103
"2014-05-03","S025",401,67
"2014-05-03","S009",75,122
"2014-05-04","S006",85,63
"2014-05-04","S010",334,37
"2014-05-04","S035",333,56
"2014-05-04","S004",69,18
"2014-05-04","S017",363,57
"2014-05-04","S002",111,78
"2014-05-04","S005",147,30
"2014-05-04","S012",217,23
"2014-05-04","S033",124,6
"2014-05-04","S018",105,68
"2014-05-04","S036",91,47
"2014-05-04","S014",379,56
"2014-05-04","S016",140,63
"2014-05-04","S024",285,45
"2014-05-04","S026",272,30
"2014-05-04","S027",65,83
"2014-05-04","S032",156,106
"2014-05-04","S015",62,197
"2014-05-04","S022",58,22
"2014-05-04","S034",94,102
"2014-05-04","S003",236,123
"2014-05-04","S007",171,20
"2014-05-04","S013",79,14
"2014-05-04","S031",147,43
"2014-05-04","S030",229,62
"2014-05-04","S028",117,15
"2014-05-04","S001",132,81
"2014-05-04","S011",272,17
"2014-05-04","S025",199,62
"2014-05-04","S009",74,87
"2014-05-05","S006",123,134
"2014-05-05","S010",191,51
"2014-05-05","S035",455,24
"2014-05-05","S004",93,43
"2014-05-05","S017",286,105
"2014-05-05","S002",52,99
"2014-05-05","S005",138,30
"2014-05-05","S012",265,10
"2014-05-05","S033",120,22
"2014-05-05","S018",76,40
"2014-05-05","S036",74,61
"2014-05-05","S014",264,177
"2014-05-05","S016",164,67
"2014-05-05","S024",249,69
"2014-05-05","S026",255,7
"2014-05-05","S027",73,81
"2014-05-05","S032",170,184
"2014-05-05","S015",136,100
"2014-05-05","S022",59,12
"2014-05-05","S034",171,106
"2014-05-05","S003",201,121
"2014-05-05","S007",171,43
"2014-05-05","S013",102,2
"2014-05-05","S031",115,53
"2014-05-05","S030",290,8
"2014-05-05","S028",143,15
"2014-05-05","S001",113,45
"2014-05-05","S011",258,56
"2014-05-05","S025",240,55
"2014-05-05","S009",74,56
"2014-05-06","S006",136,163
"2014-05-06","S010",245,46
"2014-05-06","S035",386,156
"2014-05-06","S004",67,34
"2014-05-06","S017",296,69
"2014-05-06","S002",115,43
"2014-05-06","S005",182,31
"2014-05-06","S012",281,16
"2014-05-06","S033",117,6
"2014-05-06","S018",95,73
"2014-05-06","S036",104,70
"2014-05-06","S014",358,81
"2014-05-06","S016",189,95
"2014-05-06","S024",325,41
"2014-05-06","S026",229,71
"2014-05-06","S027",46,81
"2014-05-06","S032",128,134
"2014-05-06","S015",158,115
"2014-05-06","S022",86,15
"2014-05-06","S034",161,112
"2014-05-06","S003",214,175
"2014-05-06","S007",214,78
"2014-05-06","S013",84,17
"2014-05-06","S031",173,43
"2014-05-06","S030",256,48
"2014-05-06","S028",156,22
"2014-05-06","S001",125,70
"2014-05-06","S011",227,66
"2014-05-06","S025",223,81
"2014-05-06","S009",70,71
"2014-05-07","S006",175,69
"2014-05-07","S010",233,53
"2014-05-07","S035",437,123
"2014-05-07","S004",37,71
"2014-05-07","S017",408,124
"2014-05-07","S002",103,18
"2014-05-07","S005",177,13
"2014-05-07","S012",336,29
"2014-05-07","S033",129,6
"2014-05-07","S018",93,88
"2014-05-07","S036",140,35
"2014-05-07","S014",227,228
"2014-05-07","S016",295,61
"2014-05-07","S024",384,31
"2014-05-07","S026",218,19
"2014-05-07","S027",74,81
"2014-05-07","S032",163,176
"2014-05-07","S015",146,110
"2014-05-07","S022",87,11
"2014-05-07","S034",106,140
"2014-05-07","S003",162,147
"2014-05-07","S007",207,66
"2014-05-07","S013",83,21
"2014-05-07","S031",151,28
"2014-05-07","S030",317,32
"2014-05-07","S028",130,47
"2014-05-07","S001",78,98
"2014-05-07","S011",251,62
"2014-05-07","S025",255,27
"2014-05-07","S009",66,86
"2014-05-08","S006",239,93
"2014-05-08","S010",287,42
"2014-05-08","S035",414,60
"2014-05-08","S004",90,40
"2014-05-08","S017",380,128
"2014-05-08","S002",97,23
"2014-05-08","S005",174,36
"2014-05-08","S012",348,38
"2014-05-08","S033",151,7
"2014-05-08","S018",114,69
"2014-05-08","S036",85,101
"2014-05-08","S014",282,159
"2014-05-08","S016",163,88
"2014-05-08","S024",302,39
"2014-05-08","S026",185,30
"2014-05-08","S027",98,96
"2014-05-08","S032",170,165
"2014-05-08","S015",168,189
"2014-05-08","S022",87,13
"2014-05-08","S034",147,95
"2014-05-08","S003",181,163
"2014-05-08","S007",226,32
"2014-05-08","S013",131,3
"2014-05-08","S031",118,42
"2014-05-08","S030",387,47
"2014-05-08","S028",176,24
"2014-05-08","S001",158,82
"2014-05-08","S011",283,76
"2014-05-08","S025",201,37
"2014-05-08","S009",68,83
"2014-05-09","S006",309,48
"2014-05-09","S010",226,50
"2014-05-09","S035",558,115
"2014-05-09","S004",100,44
"2014-05-09","S017",376,237
"2014-05-09","S002",103,70
"2014-05-09","S005",232,57
"2014-05-09","S012",397,10
"2014-05-09","S033",217,34
"2014-05-09","S018",101,88
"2014-05-09","S036",106,91
"2014-05-09","S014",324,141
"2014-05-09","S016",246,79
"2014-05-09","S024",354,99
"2014-05-09","S026",317,23
"2014-05-09","S027",79,120
"2014-05-09","S032",189,205
"2014-05-09","S015",179,157
"2014-05-09","S022",97,31
"2014-05-09","S034",143,136
"2014-05-09","S003",328,121
"2014-05-09","S007",245,73
"2014-05-09","S013",113,34
"2014-05-09","S031",137,62
"2014-05-09","S030",429,44
"2014-05-09","S028",244,81
"2014-05-09","S001",157,98
"2014-05-09","S011",197,95
"2014-05-09","S025",337,81
"2014-05-09","S009",76,85
"2014-05-10","S006",139,94
"2014-05-10","S010",404,220
"2014-05-10","S035",385,149
"2014-05-10","S004",146,46
"2014-05-10","S017",564,118
"2014-05-10","S002",296,137
"2014-05-10","S005",444,134
"2014-05-10","S012",540,54
"2014-05-10","S033",276,42
"2014-05-10","S018",133,133
"2014-05-10","S036",210,72
"2014-05-10","S014",401,290
"2014-05-10","S016",209,86
"2014-05-10","S024",442,69
"2014-05-10","S026",754,74
"2014-05-10","S027",213,178
"2014-05-10","S032",399,315
"2014-05-10","S015",240,442
"2014-05-10","S022",157,5
"2014-05-10","S034",160,116
"2014-05-10","S003",379,216
"2014-05-10","S007",378,17
"2014-05-10","S013",363,36
"2014-05-10","S031",295,82
"2014-05-10","S030",666,42
"2014-05-10","S028",252,78
"2014-05-10","S001",320,230
"2014-05-10","S011",376,66
"2014-05-10","S025",408,51
"2014-05-10","S009",83,89
"2014-05-11","S006",159,56
"2014-05-11","S010",465,61
"2014-05-11","S035",455,50
"2014-05-11","S004",115,53
"2014-05-11","S017",461,150
"2014-05-11","S002",219,246
"2014-05-11","S005",460,122
"2014-05-11","S012",546,0
"2014-05-11","S033",268,76
"2014-05-11","S018",137,111
"2014-05-11","S036",162,50
"2014-05-11","S014",445,213
"2014-05-11","S016",248,34
"2014-05-11","S024",372,91
"2014-05-11","S026",621,156
"2014-05-11","S027",276,119
"2014-05-11","S032",418,345
"2014-05-11","S015",315,283
"2014-05-11","S022",201,33
"2014-05-11","S034",137,137
"2014-05-11","S003",343,200
"2014-05-11","S007",272,51
"2014-05-11","S013",291,58
"2014-05-11","S031",377,91
"2014-05-11","S030",632,44
"2014-05-11","S028",297,46
"2014-05-11","S001",304,218
"2014-05-11","S011",320,42
"2014-05-11","S025",366,74
"2014-05-11","S009",91,110
"2014-05-12","S006",181,77
"2014-05-12","S010",265,50
"2014-05-12","S035",305,146
"2014-05-12","S004",95,0
"2014-05-12","S017",367,75
"2014-05-12","S002",97,27
"2014-05-12","S005",116,39
"2014-05-12","S012",332,6
"2014-05-12","S033",124,16
"2014-05-12","S018",97,87
"2014-05-12","S036",137,75
"2014-05-12","S014",324,34
"2014-05-12","S016",176,81
"2014-05-12","S024",244,42
"2014-05-12","S026",186,22
"2014-05-12","S027",57,60
"2014-05-12","S032",137,131
"2014-05-12","S015",102,126
"2014-05-12","S022",73,25
"2014-05-12","S034",118,155
"2014-05-12","S003",194,106
"2014-05-12","S007",195,8
"2014-05-12","S013",93,7
"2014-05-12","S031",105,23
"2014-05-12","S030",225,42
"2014-05-12","S028",161,0
"2014-05-12","S001",106,40
"2014-05-12","S011",252,13
"2014-05-12","S025",233,26
"2014-05-12","S009",53,90
"2014-05-13","S006",251,54
"2014-05-13","S010",273,82
"2014-05-13","S035",470,126
"2014-05-13","S004",77,23
"2014-05-13","S017",307,126
"2014-05-13","S002",74,44
"2014-05-13","S005",123,37
"2014-05-13","S012",234,20
"2014-05-13","S033",166,23
"2014-05-13","S018",99,59
"2014-05-13","S036",72,78
"2014-05-13","S014",293,187
"2014-05-13","S016",259,86
"2014-05-13","S024",269,78
"2014-05-13","S026",198,1
"2014-05-13","S027",86,92
"2014-05-13","S032",136,132
"2014-05-13","S015",179,37
"2014-05-13","S022",64,29
"2014-05-13","S034",98,106
"2014-05-13","S003",182,138
"2014-05-13","S007",242,62
"2014-05-13","S013",72,13
"2014-05-13","S031",122,53
"2014-05-13","S030",281,33
"2014-05-13","S028",131,67
"2014-05-13","S001",98,65
"2014-05-13","S011",300,29
"2014-05-13","S025",237,42
"2014-05-13","S009",66,93
"2014-05-14","S006",127,85
"2014-05-14","S010",230,37
"2014-05-14","S035",336,147
"2014-05-14","S004",71,25
"2014-05-14","S017",311,184
"2014-05-14","S002",126,23
"2014-05-14","S005",169,38
"2014-05-14","S012",196,72
"2014-05-14","S033",144,30
"2014-05-14","S018",126,57
"2014-05-14","S036",155,46
"2014-05-14","S014",365,180
"2014-05-14","S016",227,66
"2014-05-14","S024",275,32
"2014-05-14","S026",256,9
"2014-05-14","S027",51,109
"2014-05-14","S032",165,190
"2014-05-14","S015",75,157
"2014-05-14","S022",91,10
"2014-05-14","S034",138,140
"2014-05-14","S003",147,132
"2014-05-14","S007",206,53
"2014-05-14","S013",57,21
"2014-05-14","S031",155,13
"2014-05-14","S030",268,74
"2014-05-14","S028",143,19
"2014-05-14","S001",100,107
"2014-05-14","S011",246,34
"2014-05-14","S025",235,43
"2014-05-14","S009",84,88
"2014-05-15","S006",187,121
"2014-05-15","S010",220,155
"2014-05-15","S035",459,60
"2014-05-15","S004",107,46
"2014-05-15","S017",351,117
"2014-05-15","S002",117,67
"2014-05-15","S005",151,16
"2014-05-15","S012",243,49
"2014-05-15","S033",135,17
"2014-05-15","S018",133,100
"2014-05-15","S036",114,76
"2014-05-15","S014",347,151
"2014-05-15","S016",297,70
"2014-05-15","S024",383,48
"2014-05-15","S026",257,46
"2014-05-15","S027",88,117
"2014-05-15","S032",152,172
"2014-05-15","S015",195,145
"2014-05-15","S022",72,23
"2014-05-15","S034",169,161
"2014-05-15","S003",282,78
"2014-05-15","S007",172,67
"2014-05-15","S013",143,4
"2014-05-15","S031",139,57
"2014-05-15","S030",397,34
"2014-05-15","S028",220,26
"2014-05-15","S001",86,81
"2014-05-15","S011",306,59
"2014-05-15","S025",250,55
"2014-05-15","S009",74,108
"2014-05-16","S029",316,156
"2014-05-16","S006",169,212
"2014-05-16","S010",258,121
"2014-05-16","S035",473,187
"2014-05-16","S004",93,64
"2014-05-16","S017",391,184
"2014-05-16","S002",189,53
"2014-05-16","S005",196,44
"2014-05-16","S012",286,75
"2014-05-16","S033",244,20
"2014-05-16","S018",100,82
"2014-05-16","S036",141,76
"2014-05-16","S014",236,285
"2014-05-16","S016",271,51
"2014-05-16","S024",313,73
"2014-05-16","S026",349,55
"2014-05-16","S027",129,124
"2014-05-16","S032",269,199
"2014-05-16","S015",194,194
"2014-05-16","S022",80,20
"2014-05-16","S034",133,153
"2014-05-16","S003",376,91
"2014-05-16","S007",187,51
"2014-05-16","S013",242,9
"2014-05-16","S031",210,36
"2014-05-16","S030",431,60
"2014-05-16","S028",240,45
"2014-05-16","S001",138,97
"2014-05-16","S011",316,49
"2014-05-16","S025",384,37
"2014-05-16","S009",112,137
"2014-05-17","S029",297,35
"2014-05-17","S006",126,121
"2014-05-17","S010",458,166
"2014-05-17","S035",417,121
"2014-05-17","S004",122,62
"2014-05-17","S017",607,147
"2014-05-17","S002",147,187
"2014-05-17","S005",447,119
"2014-05-17","S012",414,92
"2014-05-17","S033",351,40
"2014-05-17","S018",129,104
"2014-05-17","S036",166,108
"2014-05-17","S014",454,236
"2014-05-17","S016",254,60
"2014-05-17","S024",450,92
"2014-05-17","S026",640,178
"2014-05-17","S027",174,123
"2014-05-17","S032",357,330
"2014-05-17","S015",379,362
"2014-05-17","S022",184,21
"2014-05-17","S034",146,140
"2014-05-17","S003",288,221
"2014-05-17","S007",293,39
"2014-05-17","S013",270,95
"2014-05-17","S031",248,77
"2014-05-17","S030",485,140
"2014-05-17","S028",358,15
"2014-05-17","S001",283,216
"2014-05-17","S011",354,116
"2014-05-17","S025",722,15
"2014-05-17","S009",91,114
"2014-05-18","S029",247,20
"2014-05-18","S006",163,88
"2014-05-18","S010",243,164
"2014-05-18","S035",482,18
"2014-05-18","S004",196,33
"2014-05-18","S017",547,95
"2014-05-18","S002",128,201
"2014-05-18","S005",467,86
"2014-05-18","S012",361,121
"2014-05-18","S033",315,44
"2014-05-18","S018",110,120
"2014-05-18","S036",156,101
"2014-05-18","S014",493,254
"2014-05-18","S016",186,54
"2014-05-18","S024",461,59
"2014-05-18","S026",539,96
"2014-05-18","S027",171,150
"2014-05-18","S032",368,262
"2014-05-18","S015",321,367
"2014-05-18","S022",187,22
"2014-05-18","S034",125,141
"2014-05-18","S003",257,224
"2014-05-18","S007",261,47
"2014-05-18","S013",272,22
"2014-05-18","S031",306,33
"2014-05-18","S030",558,66
"2014-05-18","S028",526,76
"2014-05-18","S001",269,202
"2014-05-18","S011",193,134
"2014-05-18","S025",484,3
"2014-05-18","S009",112,160
"2014-05-19","S029",380,13
"2014-05-19","S006",140,130
"2014-05-19","S010",109,118
"2014-05-19","S035",345,143
"2014-05-19","S004",57,35
"2014-05-19","S017",269,54
"2014-05-19","S002",62,49
"2014-05-19","S005",123,54
"2014-05-19","S012",241,16
"2014-05-19","S033",136,10
"2014-05-19","S018",86,46
"2014-05-19","S036",86,55
"2014-05-19","S014",294,163
"2014-05-19","S016",190,77
"2014-05-19","S024",265,67
"2014-05-19","S026",179,23
"2014-05-19","S027",88,97
"2014-05-19","S032",157,155
"2014-05-19","S015",106,111
"2014-05-19","S022",55,7
"2014-05-19","S034",138,133
"2014-05-19","S003",220,81
"2014-05-19","S007",187,57
"2014-05-19","S013",111,3
"2014-05-19","S031",143,47
"2014-05-19","S030",334,10
"2014-05-19","S028",127,6
"2014-05-19","S001",86,96
"2014-05-19","S011",235,47
"2014-05-19","S025",257,30
"2014-05-19","S009",90,86
"2014-05-20","S029",303,92
"2014-05-20","S006",186,129
"2014-05-20","S010",209,90
"2014-05-20","S035",441,137
"2014-05-20","S004",105,35
"2014-05-20","S017",461,90
"2014-05-20","S002",88,125
"2014-05-20","S005",182,49
"2014-05-20","S012",334,39
"2014-05-20","S033",193,31
"2014-05-20","S018",136,89
"2014-05-20","S036",100,83
"2014-05-20","S014",401,84
"2014-05-20","S016",316,84
"2014-05-20","S024",352,43
"2014-05-20","S026",321,33
"2014-05-20","S027",91,93
"2014-05-20","S032",260,277
"2014-05-20","S015",165,206
"2014-05-20","S022",120,28
"2014-05-20","S034",144,129
"2014-05-20","S003",322,113
"2014-05-20","S007",274,39
"2014-05-20","S013",136,5
"2014-05-20","S031",238,7
"2014-05-20","S030",461,55
"2014-05-20","S028",237,4
"2014-05-20","S001",219,112
"2014-05-20","S011",307,47
"2014-05-20","S025",326,15
"2014-05-20","S009",82,139
"2014-05-21","S029",338,26
"2014-05-21","S006",100,180
"2014-05-21","S010",284,119
"2014-05-21","S035",463,92
"2014-05-21","S004",135,50
"2014-05-21","S017",578,152
"2014-05-21","S002",150,114
"2014-05-21","S005",324,103
"2014-05-21","S012",326,35
"2014-05-21","S033",199,66
"2014-05-21","S018",137,82
"2014-05-21","S036",186,71
"2014-05-21","S014",594,157
"2014-05-21","S016",337,53
"2014-05-21","S024",330,51
"2014-05-21","S026",655,46
"2014-05-21","S027",162,185
"2014-05-21","S032",224,312
"2014-05-21","S015",260,299
"2014-05-21","S022",156,5
"2014-05-21","S034",142,143
"2014-05-21","S003",303,201
"2014-05-21","S007",341,67
"2014-05-21","S013",168,43
"2014-05-21","S031",229,70
"2014-05-21","S030",512,70
"2014-05-21","S028",210,90
"2014-05-21","S001",223,168
"2014-05-21","S011",268,62
"2014-05-21","S025",381,42
"2014-05-21","S009",87,139
"2014-05-22","S029",311,80
"2014-05-22","S006",202,115
"2014-05-22","S010",239,100
"2014-05-22","S035",323,244
"2014-05-22","S004",46,62
"2014-05-22","S017",382,107
"2014-05-22","S002",88,71
"2014-05-22","S005",179,21
"2014-05-22","S012",218,22
"2014-05-22","S033",153,34
"2014-05-22","S018",96,57
"2014-05-22","S036",111,84
"2014-05-22","S014",280,175
"2014-05-22","S016",229,68
"2014-05-22","S024",255,88
"2014-05-22","S026",307,0
"2014-05-22","S027",64,111
"2014-05-22","S032",165,187
"2014-05-22","S015",121,135
"2014-05-22","S022",100,2
"2014-05-22","S034",155,155
"2014-05-22","S003",196,134
"2014-05-22","S007",276,63
"2014-05-22","S013",127,31
"2014-05-22","S031",178,25
"2014-05-22","S030",263,66
"2014-05-22","S028",184,22
"2014-05-22","S001",90,66
"2014-05-22","S011",225,32
"2014-05-22","S025",374,10
"2014-05-22","S009",56,99
"2014-05-23","S029",360,79
"2014-05-23","S006",154,92
"2014-05-23","S010",279,123
"2014-05-23","S035",430,192
"2014-05-23","S004",101,63
"2014-05-23","S017",415,134
"2014-05-23","S002",84,81
"2014-05-23","S005",208,35
"2014-05-23","S012",374,61
"2014-05-23","S033",233,50
"2014-05-23","S018",116,75
"2014-05-23","S036",97,99
"2014-05-23","S014",426,184
"2014-05-23","S016",263,112
"2014-05-23","S024",381,64
"2014-05-23","S026",226,87
"2014-05-23","S027",93,100
"2014-05-23","S032",189,209
"2014-05-23","S015",192,218
"2014-05-23","S022",86,0
"2014-05-23","S034",136,155
"2014-05-23","S003",320,168
"2014-05-23","S007",236,68
"2014-05-23","S013",114,40
"2014-05-23","S031",173,18
"2014-05-23","S030",447,38
"2014-05-23","S028",274,30
"2014-05-23","S001",144,153
"2014-05-23","S011",140,122
"2014-05-23","S025",357,43
"2014-05-23","S009",85,135
"2014-05-24","S029",285,47
"2014-05-24","S006",146,144
"2014-05-24","S010",328,202
"2014-05-24","S035",572,169
"2014-05-24","S004",152,57
"2014-05-24","S017",614,242
"2014-05-24","S002",153,177
"2014-05-24","S005",442,82
"2014-05-24","S012",314,41
"2014-05-24","S033",241,33
"2014-05-24","S018",97,138
"2014-05-24","S036",185,171
"2014-05-24","S014",601,165
"2014-05-24","S016",183,40
"2014-05-24","S024",503,58
"2014-05-24","S026",508,176
"2014-05-24","S027",200,219
"2014-05-24","S032",301,350
"2014-05-24","S015",371,389
"2014-05-24","S022",282,19
"2014-05-24","S034",175,124
"2014-05-24","S003",347,220
"2014-05-24","S007",329,54
"2014-05-24","S013",335,66
"2014-05-24","S031",290,50
"2014-05-24","S030",614,59
"2014-05-24","S028",373,62
"2014-05-24","S001",192,258
"2014-05-24","S011",343,211
"2014-05-24","S025",523,14
"2014-05-24","S009",64,143
"2014-05-25","S029",366,22
"2014-05-25","S006",148,61
"2014-05-25","S010",310,144
"2014-05-25","S035",407,132
"2014-05-25","S004",108,57
"2014-05-25","S017",644,157
"2014-05-25","S002",123,140
"2014-05-25","S005",441,91
"2014-05-25","S012",503,11
"2014-05-25","S033",298,36
"2014-05-25","S018",147,109
"2014-05-25","S036",110,73
"2014-05-25","S014",501,239
"2014-05-25","S016",210,8
"2014-05-25","S024",374,72
"2014-05-25","S026",611,140
"2014-05-25","S027",207,130
"2014-05-25","S032",297,355
"2014-05-25","S015",333,291
"2014-05-25","S022",230,12
"2014-05-25","S034",119,173
"2014-05-25","S003",427,170
"2014-05-25","S007",311,83
"2014-05-25","S013",231,55
"2014-05-25","S031",268,72
"2014-05-25","S030",529,91
"2014-05-25","S028",361,46
"2014-05-25","S001",231,244
"2014-05-25","S011",290,99
"2014-05-25","S025",441,27
"2014-05-25","S009",62,111
"2014-05-26","S029",346,59
"2014-05-26","S006",184,91
"2014-05-26","S010",201,87
"2014-05-26","S035",334,198
"2014-05-26","S004",65,22
"2014-05-26","S017",359,104
"2014-05-26","S002",67,63
"2014-05-26","S005",179,42
"2014-05-26","S012",267,27
"2014-05-26","S033",174,21
"2014-05-26","S018",114,64
"2014-05-26","S036",110,96
"2014-05-26","S014",313,93
"2014-05-26","S016",172,83
"2014-05-26","S024",296,12
"2014-05-26","S026",167,27
"2014-05-26","S027",76,83
"2014-05-26","S032",157,160
"2014-05-26","S015",103,154
"2014-05-26","S022",63,13
"2014-05-26","S034",178,102
"2014-05-26","S003",291,87
"2014-05-26","S007",148,64
"2014-05-26","S013",91,15
"2014-05-26","S031",197,16
"2014-05-26","S030",304,25
"2014-05-26","S028",138,4
"2014-05-26","S001",74,83
"2014-05-26","S011",246,64
"2014-05-26","S025",351,7
"2014-05-26","S009",54,87
"2014-05-27","S029",363,80
"2014-05-27","S006",219,114
"2014-05-27","S010",213,117
"2014-05-27","S035",345,156
"2014-05-27","S004",115,27
"2014-05-27","S017",379,137
"2014-05-27","S002",96,69
"2014-05-27","S005",202,4
"2014-05-27","S012",313,28
"2014-05-27","S033",140,13
"2014-05-27","S018",98,71
"2014-05-27","S036",102,80
"2014-05-27","S014",408,84
"2014-05-27","S016",225,44
"2014-05-27","S024",329,18
"2014-05-27","S026",323,12
"2014-05-27","S027",70,67
"2014-05-27","S032",209,186
"2014-05-27","S015",268,83
"2014-05-27","S022",50,22
"2014-05-27","S034",160,120
"2014-05-27","S003",281,83
"2014-05-27","S007",205,58
"2014-05-27","S013",63,10
"2014-05-27","S031",142,27
"2014-05-27","S030",445,19
"2014-05-27","S028",183,17
"2014-05-27","S001",142,87
"2014-05-27","S011",247,68
"2014-05-27","S025",331,18
"2014-05-27","S009",89,101
"2014-05-28","S029",368,131
"2014-05-28","S006",150,145
"2014-05-28","S010",209,144
"2014-05-28","S035",435,57
"2014-05-28","S004",84,6
"2014-05-28","S017",235,146
"2014-05-28","S002",114,65
"2014-05-28","S005",244,18
"2014-05-28","S012",265,45
"2014-05-28","S033",147,17
"2014-05-28","S018",89,62
"2014-05-28","S036",60,57
"2014-05-28","S014",305,152
"2014-05-28","S016",243,39
"2014-05-28","S024",366,57
"2014-05-28","S026",313,1
"2014-05-28","S027",71,93
"2014-05-28","S032",188,171
"2014-05-28","S015",143,206
"2014-05-28","S022",79,13
"2014-05-28","S034",137,121
"2014-05-28","S003",200,159
"2014-05-28","S007",296,53
"2014-05-28","S013",107,13
"2014-05-28","S031",164,29
"2014-05-28","S030",379,37
"2014-05-28","S028",207,12
"2014-05-28","S001",145,64
"2014-05-28","S011",270,55
"2014-05-28","S025",271,3
"2014-05-28","S009",69,61
"2014-05-29","S029",444,128
"2014-05-29","S006",265,99
"2014-05-29","S010",242,203
"2014-05-29","S035",533,92
"2014-05-29","S004",41,76
"2014-05-29","S017",367,138
"2014-05-29","S002",128,54
"2014-05-29","S005",189,12
"2014-05-29","S012",276,22
"2014-05-29","S033",144,18
"2014-05-29","S018",89,79
"2014-05-29","S036",103,113
"2014-05-29","S014",243,95
"2014-05-29","S016",240,71
"2014-05-29","S024",391,32
"2014-05-29","S026",363,0
"2014-05-29","S027",76,87
"2014-05-29","S032",158,182
"2014-05-29","S015",152,204
"2014-05-29","S022",83,21
"2014-05-29","S034",160,141
"2014-05-29","S003",287,119
"2014-05-29","S007",241,87
"2014-05-29","S013",143,24
"2014-05-29","S031",210,45
"2014-05-29","S030",293,54
"2014-05-29","S028",204,42
"2014-05-29","S001",168,77
"2014-05-29","S011",194,152
"2014-05-29","S025",334,32
"2014-05-29","S009",90,108
"2014-05-30","S029",338,98
"2014-05-30","S006",178,179
"2014-05-30","S010",394,207
"2014-05-30","S035",465,131
"2014-05-30","S004",141,50
"2014-05-30","S017",466,153
"2014-05-30","S002",99,112
"2014-05-30","S005",248,54
"2014-05-30","S012",396,24
"2014-05-30","S033",271,17
"2014-05-30","S018",106,71
"2014-05-30","S036",124,59
"2014-05-30","S014",358,186
"2014-05-30","S016",268,82
"2014-05-30","S024",398,7
"2014-05-30","S026",412,21
"2014-05-30","S027",99,160
"2014-05-30","S032",232,262
"2014-05-30","S015",217,253
"2014-05-30","S022",92,17
"2014-05-30","S034",167,125
"2014-05-30","S003",385,118
"2014-05-30","S007",371,75
"2014-05-30","S013",191,31
"2014-05-30","S031",280,21
"2014-05-30","S030",461,28
"2014-05-30","S028",255,41
"2014-05-30","S001",203,134
"2014-05-30","S011",268,116
"2014-05-30","S025",385,38
"2014-05-30","S009",104,132
"2014-05-31","S029",425,4
"2014-05-31","S006",160,107
"2014-05-31","S010",495,223
"2014-05-31","S035",436,170
"2014-05-31","S004",153,71
"2014-05-31","S017",747,169
"2014-05-31","S002",163,220
"2014-05-31","S005",465,144
"2014-05-31","S012",413,28
"2014-05-31","S033",321,60
"2014-05-31","S018",157,148
"2014-05-31","S036",299,129
"2014-05-31","S014",601,235
"2014-05-31","S016",188,46
"2014-05-31","S024",482,77
"2014-05-31","S026",669,104
