Summary,Legend,Protection,Sale,Place,Price,Seller,MSales,Comments
最新国产I9220 真正5.3寸超大屏手机wifi男女式触屏尼采安卓智能,"消费者保障	七天退换",七天退换,"月售128笔	67条评价",广东 深圳,455.70        运费：0.00           折扣,小小啾,128,67
DOOV 朵唯S760 爱琴海翻盖 折叠时尚白 粉色 女性手机原装正品,"消费者保障	七天退换",七天退换,1条评价,广东 深圳,420.00        运费：0.01           信用卡,laiguhui,0,1
中维恒泰HT530 电信3G GPS定位老人手机CDMA手机电信手机老年手机,"消费者保障	七天退换",七天退换,"月售34笔	39条评价",广东 深圳货到付款,212.00        运费：0.00           信用卡,哇好东东呀_我淘,34,39
Apple/苹果 iPhone 4代（联通版）iPhone4 无锁 4代 苹果4 手机S,"消费者保障	七天退换",七天退换,"月售91笔	226条评价",广东 深圳,2500.00        运费：0.00           信用卡,顺达数码港,91,226
HTC S510b G20 Rhyme /倾心/G20 女性时尚手机,消费者保障,无七天退换,,福建 福州,1800.00        运费：10.00           信用卡,fzdeli,0,0
CECT C5+ 老人手机 超长待机 语音报号 双卡双待 正品行货 特价,"消费者保障	七天退换",七天退换,"月售39笔	51条评价",广东 深圳,78.00        运费：8.00,梦想未来2013,39,51
湖南卫视李维嘉代言 纽维9100正品 老人手机 老年人手机 老人机,消费者保障,无七天退换,"月售2笔	1条评价",河北 石家庄,118.00        运费：25.00,jordan561,2,1
Changhong/长虹 X3 联通3G手机 W+G 无线WIFI 专柜正品 开业促销,"消费者保障	七天退换	正品保障",七天退换,"月售2笔	2条评价",重庆货到付款,399.84        运费：0.00           信用卡,茂凯数码专营店,2,2
安卓 智能 手机 4寸 4.0寸 电容屏微信WIFI 500万像素 最新款 199,"消费者保障	七天退换",七天退换,,广东 深圳,460.00        运费：10.00           信用卡,深圳手机壳批发,0,0
Nokia/诺基亚 c2-07/02  滑盖触控手机 送豪华大礼 特价优<e6><83>,"消费者保障	七天退换",七天退换,"月售244笔	823条评价",广东 深圳,340.03        运费：0.01           信用卡,国信通讯城,244,823
Nokia/诺基亚 C5-05塞班智能触摸手机 正品行货全国联保机打发票,"消费者保障	七天退换	正品保障",七天退换,"月售5笔	74条评价",上海,588.00        运费：12.00           信用卡,太初数码专营店,5,74
AWIT/爱维特儿童手机学生手机安全定位手机低辐射手机精美手机G08,"消费者保障	假一赔三    品牌授权",无七天退换,,江苏 无锡货到付款,399.00        运费：0.00           折扣,福星娃88,0,0
Sony Ericsson/索尼爱立信 X8/E15i多点触控 安卓智能手机包邮,"消费者保障	七天退换",七天退换,"月售60笔	73条评价",广东 深圳货到付款,400.04        运费：0.01           信用卡,九九数码网,60,73
迷你袖珍腕表手机 超薄MQ007 拍照手表手机 手表蓝牙男女士 现货,消费者保障,无七天退换,3条评价,广东 深圳,298.00        运费：12.00,深圳亚蓝,0,3
Gionee/金立 GN380 双卡双待安卓系统智能手机正品行货双核手机,"消费者保障	七天退换",七天退换,"月售3笔	1条评价",浙江 金华货到付款,980.10        运费：15.00           信用卡,仙香阁,3,1
限量包邮 儿童手机 GPS定位 防盗 监听 低辐射迷你手机 男生 女生,"消费者保障	七天退换",七天退换,月售3笔,广东 佛山货到付款,149.00        运费：0.00           信用卡,cy6877,3,0
包邮Nokia/诺基亚 X1-01双模双待电信天翼C5-03 CDMA智能手机,"消费者保障	七天退换",七天退换,"月售491笔	197条评价",广东 深圳,240.01        运费：0.00           信用卡,sistersgo,491,197
商城正品专卖 BBK/步步高 VIVO智能手机 S6  S6T 安卓4.0 包顺丰,"消费者保障	七天退换	正品保障",七天退换,"月售392笔	319条评价",上海货到付款,1608.09        运费：0.00           信用卡,凝艺数码专营店,392,319
Samsung/三星 I9100 Galaxy S2 极薄机身 双核 安卓智能手机,消费者保障,无七天退换,,广东 深圳,2680.00        运费：13.00           信用卡,王绍羽,0,0
BIRD/波导S1000硕码S1000 4.0大屏PDA 魔音手机全国联保正品行货,"消费者保障	七天退换",七天退换,"月售9笔	6条评价",浙江 宁波货到付款,335.02        运费：0.00           信用卡,lrping8,9,6
Huawei/华为 C2829 电信 CDMA手机 后台QQ UC浏览器超长待机,消费者保障,无七天退换,"月售10笔	11条评价",上海货到付款,112.10        运费：10.00           信用卡折扣,dongaifan428,10,11
到200台现货北斗星小辣椒双核1G 双卡双待手机 安卓4.0系统支持3G,消费者保障,无七天退换,月售2笔,北京货到付款,730.00        运费：0.00           信用卡,川南电信,2,0
Motorola/摩托罗拉 MB865/Atrix 2大屏智能手机安卓双核正品包邮,"消费者保障	七天退换",七天退换,,广东 深圳,2890.00        运费：0.00,hittman,0,0
【非山寨高仿】新款N9手机半智能山寨手机10系统 充电宝,"消费者保障	七天退换",七天退换,月售2笔,广东 深圳货到付款,195.00        运费：10.00,集宇通讯,2,0
欧盛 W7 Trubo加强型 android安卓4.0 3G双卡智能手机,"消费者保障	七天退换",七天退换,月售2笔,广东 深圳,799.00        运费：15.00,我嘉豪,2,0
广信CF310 正品电信老人手机 大字翻盖CDMA天翼老人机 EF310同款,"消费者保障	七天退换",七天退换,"月售156笔	131条评价",浙江 杭州,230.00        运费：5.00           信用卡,杰阳数码,156,131
莱迪XG5231电信手机双模双待正品天翼CDMA手机 X1-01锋达通C867+,"消费者保障	七天退换",七天退换,"月售52笔	21条评价",广东 深圳货到付款,171.60        运费：10.00           信用卡折扣,3aaa通讯,52,21
新机送礼 Huawei/华为 T8620 移动G3手机 安卓4.0 全国联保 预售,"消费者保障	七天退换",七天退换,月售6笔,四川 成都,549.00        运费：10.00           信用卡,erlicao,6,0
Huawei/华为 C5070 电信3G手机 全新正品原封 QQ UC 全国联保,"消费者保障	七天退换	正品保障",七天退换,"月售57笔	219条评价",浙江 杭州,188.00        运费：6.00           信用卡,龙委数码专营店,57,219
【龙鑫数码】Sony/索尼 LT26I Xperia S lt26i索尼  lt26i手机,"消费者保障	七天退换",七天退换,,北京货到付款,2380.06        运费：25.00           信用卡,鑫世纪88通讯专卖,0,0
包邮Lenovo/联想 A68e cdma智能手机电信天翼安卓系统3G触屏正品,"消费者保障	七天退换",七天退换,"月售8笔	19条评价",浙江 杭州货到付款,463.32        运费：0.00           信用卡,精品风尚生活馆,8,19
新款G288国产半智能安卓系统超薄直板大屏男女士情侣全触屏手机,"消费者保障	七天退换",七天退换,,广东 深圳货到付款,242.25        运费：10.00           信用卡折扣,万声科技,0,0
Coolpad/酷派 D530手机 CDMA 行货 电信天翼,"消费者保障	七天退换",七天退换,"月售3笔	1条评价",广东 深圳,320.00        运费：0.00,红颜0124,3,1
诺基亚2610 老人学生手机 待机彩屏手机Nokia/诺基亚 2692台批发,"消费者保障	七天退换",七天退换,"月售47笔	2条评价",广东 深圳,48.00        运费：9.80           信用卡,镜子俱乐部,47,2
HTC X720d One XC电信双模双待双网双待 天翼4.7寸3g智能手机C+G,"消费者保障	七天退换",七天退换,"月售19笔	2条评价",广东 深圳,1500.05        运费：0.00           信用卡,瞬间心动668,19,2
Nokia/诺基亚 603 N603 正品行货 3G智能手机 送礼品 正规发票,"消费者保障	七天退换",七天退换,"月售161笔	216条评价",广东 深圳货到付款,1050.00        运费：0.00           信用卡,田297983070,161,216
Coolpad/酷派 5860 电信天翼CDMA 3G智能手机 全新原装正品,消费者保障,无七天退换,,广东 东莞,690.00        运费：15.00           信用卡,sonya907,0,0
Coolpad/酷派 E270  电信天翼3G智能手机  全新原装正品,消费者保障,无七天退换,,广东 东莞,380.00        运费：15.00           信用卡,sonya907,0,0
koobee酷比A109安卓2.3双卡智能手机 正品联保,"消费者保障	七天退换",七天退换,1条评价,上海,899.00        运费：7.00,凌芳lw,0,1
包邮 现货HTC S720e G23 One X 手机,消费者保障,无七天退换,,上海,3300.00        运费：0.00,刹那樱花8,0,0
包邮 现货LG P970 安卓智能手机 4.0超亮屏,消费者保障,无七天退换,,上海,1500.00        运费：0.00,刹那樱花8,0,0
Hedy/七喜 E7 荷塘月色 水点桃花女性翻盖手机 双卡双待 全国联保,消费者保障,无七天退换,"月售47笔	20条评价",广东 广州,178.00        运费：10.00,七喜手机产品,47,20
多普达 A3288 3G手机 G4  正品行货 全国联保 GPS andriod系统,"消费者保障	七天退换	正品保障",七天退换,"月售4笔	8条评价",北京,319.20        运费：0.00           信用卡折扣,阿拉丁数码专营店,4,8
步步高 VIVO E3 智能手机 双卡双待 正品联保 黑 蓝现货全套原装,"消费者保障	七天退换",七天退换,"月售12笔	8条评价",广东 深圳货到付款,1200.00        运费：0.00           信用卡,悠悠寒雪2009,12,8
朵唯S760 朵唯爱琴海S760女性手机 正品行货 支持各种验证 包邮,"消费者保障	七天退换",七天退换,"月售2笔	4条评价",广东 深圳货到付款,330.00        运费：0.00           信用卡,开心商城68,2,4
HTC A510e G13 Wildfire S 正品安卓智能手机 送电池 送魔音耳机,"消费者保障	七天退换",七天退换,3条评价,广东 深圳货到付款,790.00        运费：0.01           信用卡,zhuyuanhuazl,0,3
商城正品专卖 BBK/步步高 V205 音乐手机直板 正品行货 包邮送票,"消费者保障	七天退换	正品保障",七天退换,"月售26笔	18条评价",上海货到付款,588.04        运费：0.00           信用卡,凝艺数码专营店,26,18
深圳国产手机批发 F8 3.8高清屏 双卡双待 时尚PDA 女性全屏手机,"消费者保障	七天退换",七天退换,,广东 深圳,220.00        运费：22.00,锐兴达,0,0
国产正品行货超薄直板大屏4.3寸安卓智能手机新款全触屏男款女款,消费者保障,无七天退换,,广东 深圳货到付款,499.00        运费：10.00,伊韵鑫儿,0,0
香港HD7 T9299 T9999双卡双待WCDMA双核3G智能手机安卓4.0,"消费者保障	七天退换",七天退换,"月售5笔	8条评价",江苏 无锡,914.82        运费：15.00,新纪元_907,5,8
HTC Z710e G14 sensation 灵感 双核智能手机 安卓/WIFI/GPS/QQ,消费者保障,无七天退换,,广东 深圳,2350.00        运费：13.00,啊mou,0,0
超低价Android2.3大屏智能手机 超薄安卓智能手机 糖果色男女款,消费者保障,无七天退换,,广东 深圳,366.16        运费：10.00           信用卡,可乐喵喵ms,0,0
Samsung/三星 i8150/GALAXY W智能手机 WIFI/蓝牙/QQ/安卓/500万,消费者保障,无七天退换,,广东 深圳,1700.00        运费：13.00,啊mou,0,0
MIUI/小米 M1 M1S标准版4.0寸屏 双核1.5CPU 3G智能手机 未拆封,消费者保障,无七天退换,"月售4笔	2条评价",广东 深圳,1239.38        运费：0.00,慧斌通讯,4,2
Nokia/诺基亚 5320XM  正品智能音乐手机 特价包邮送大礼包,"消费者保障	七天退换",七天退换,"月售3笔	77条评价",广东 深圳货到付款,420.03        运费：0.00           信用卡,思远数码959,3,77
普莱达F7 女士超薄安卓智能WIFI电容屏国产手机双卡双待正品包邮,"消费者保障	七天退换",七天退换,"月售11笔	9条评价",陕西 渭南,399.00        运费：0.00,黑豆霞女,11,9
正品贝龙A18B老年手机大字体大音量超长待机智能定位拍照手电筒,消费者保障,无七天退换,月售1笔,河北 唐山,168.00        运费：15.00           信用卡,人之初201188,1,0
现货 特价 Samsung/三星 I9003 手机 欧版,消费者保障,无七天退换,,上海,2260.00        运费：0.00,fhy543601,0,0
Alcatel/阿尔卡特 OT-808G 全键盘翻盖 典雅版潘多拉正品女性手机,"消费者保障	假一赔三	七天退换    品牌授权",七天退换,"月售3笔	2条评价",广东 惠州,289.01        运费：0.00           信用卡,呆呆的晴天,3,2
打折促销ZTE/中兴 R516电信3G 照相内存卡手机！,消费者保障,无七天退换,"月售10笔	6条评价",广东 深圳,161.50        运费：10.00,甜美紫罗兰,10,6
打折促销ZTE/中兴 R516电信3G 照相内存卡手机！,消费者保障,无七天退换,"月售10笔	6条评价",广东 深圳,161.50        运费：10.00,甜美紫罗兰,10,6
天翼CDMA电信 正品行货 老人手机大声 老年机超长待机 老人机,"消费者保障	七天退换",七天退换,"月售26笔	18条评价",广东 深圳,98.01        运费：0.00           信用卡,谷米科技,26,18
koobee酷比i50 安卓android2.3.智能手机4.3寸 送5200毫安充电宝,"消费者保障	七天退换",七天退换,"月售18笔	38条评价",上海,1028.00        运费：0.00           信用卡,shiqgma770514,18,38
三皇冠 正品路虎A1 极客J2 安卓智能三防手机 现货特价 上海发货,"消费者保障	七天退换",七天退换,"月售11笔	11条评价",上海货到付款,3530.00        运费：0.00           信用卡,聆听风的声音in86,11,11
未拆封！ZTE/中兴 V880 联通3G WCDMA 安卓智能手机 升级 大礼包,"消费者保障	七天退换",七天退换,"月售7笔	19条评价",广东 深圳货到付款,400.00        运费：13.00           信用卡折扣,faith_jun,7,19
Samsung/三星 S8300C 触屏滑板导航智能 男款女款手机 包邮送礼,"消费者保障	七天退换",七天退换,月售8笔,广东 深圳,495.00        运费：0.00,俊发通讯080,8,0
天翼CDMA电信 老人手机正品行货 老年机大字大屏 老人机超长待机,"消费者保障	七天退换",七天退换,"月售19笔	14条评价",广东 深圳,91.00        运费：0.00           信用卡,酷米客,19,14
包邮 现货 Samsung/三星 S8300C 手机 欧版,消费者保障,无七天退换,"月售1笔	1条评价",上海货到付款,990.00        运费：0.00           信用卡,13277782103黄智,1,1
诺基亚2610老人机学生备用机便宜手机Nokia/诺基亚 2030台,消费者保障,无七天退换,"月售1笔	1条评价",广东 深圳,65.00        运费：0.00           折扣,陈宏建99,1,1
正品行货 滑盖手机 双卡双待 超薄时尚女性女款 音乐手机 shouji,"消费者保障	七天退换",七天退换,"月售5笔	12条评价",山东 菏泽,159.00        运费：12.00           信用卡,山水手机城,5,12
HTC A320e Desire C 渴望 安卓智能手机ROOT 4.0   魔音魔音耳机,"消费者保障	七天退换",七天退换,"月售3笔	2条评价",广东 深圳,1060.10        运费：0.00,前沿数码2008,3,2
Lenovo/联想 k860手机 2012新款 四核智能手机 预售送大礼包）,"消费者保障	七天退换",七天退换,月售3笔,广东 深圳,2198.00        运费：0.00           信用卡,蓝宇通讯店,3,0
Nokia/诺基亚 5320XM 智能手机 全新正品行货 包邮 送豪华大礼,"消费者保障	七天退换",七天退换,"月售12笔	15条评价",广东 深圳,300.00        运费：0.00,翔达87,12,15
MIUI/小米 青春版M1 3G手机 安卓4.0智能双核1.2 官网验证,"消费者保障	七天退换",七天退换,月售2笔,广东 深圳,2100.00        运费：0.00,傅红雪2024,2,0
未拆封！ZTE/中兴 N760 电信3G 安卓2.3 智能手机 ROOT 大礼包,"消费者保障	七天退换",七天退换,"月售21笔	21条评价",广东 深圳货到付款,270.00        运费：13.00           信用卡,faith_jun,21,21
包邮 现货 Samsung/三星 S5233 手机 欧版,消费者保障,无七天退换,,上海货到付款,499.00        运费：0.00           信用卡,13277782103黄智,0,0
Samsung/三星 I9100 Galaxy S2 GPS WIFI安卓智能大屏超薄3G手机,"消费者保障	七天退换",七天退换,,广东 深圳货到付款,2999.00        运费：0.00           信用卡,蒋国平3501166,0,0
诺基亚1208行货经典老人手机带手电筒促销包邮 Nokia/诺基亚 1661,"消费者保障	七天退换",七天退换,"月售2笔	6条评价",广东 深圳,100.00        运费：0.00           信用卡,zwhisaaa,2,6
HTC EVO 手机电信天翼CDMA安卓智能手机送800元豪礼 送16G内存卡,消费者保障,无七天退换,"月售21笔	230条评价",广东 深圳,650.00        运费：0.00           信用卡,深圳广大数码城,21,230
Coolpad/酷派 8013手机 安卓 智能手机 CMMB电视 现货 全国联保,"消费者保障	七天退换",七天退换,2条评价,北京,445.00        运费：15.00,惠宾专卖,0,2
㊣HOSIN 欧新手机 小清新S20,消费者保障,无七天退换,1条评价,广东 深圳,338.00        运费：12.00,天心零零发,0,1
OPPO A100 男款女款直板手机超薄音乐非智能手机直板按键手机正品,"消费者保障	七天退换",七天退换,"月售11笔	16条评价",浙江 金华货到付款,214.83        运费：9.00           信用卡,精品风尚生活馆,11,16
Sunup/三普MZ909正品4.3全触屏安卓半智能男女款白色学生手机包邮,"消费者保障	七天退换",七天退换,"月售30笔	37条评价",广东 深圳,358.00        运费：0.00           信用卡,nice2500,30,37
Sony Ericsson/索尼爱立信 ST15i 无返回门 索爱安卓4.0 智能手机,消费者保障,无七天退换,月售2笔,广东 深圳,660.00        运费：0.00           信用卡,绝恋小店,2,0
7折中国电信天翼超长待机QQ UC全新CDMA手机Huawei/华为 C2809,消费者保障,无七天退换,"月售16笔	9条评价",广东 深圳,70.00        运费：10.00,甜美紫罗兰,16,9
OPPO A520 特价特价打折又送礼 优惠又包邮  女士手机,"消费者保障	七天退换",七天退换,"月售74笔	41条评价",广东 深圳货到付款,360.00        运费：0.00           信用卡,太多的无奈xu,74,41
北斗小辣椒 小辣椒手机 小辣椒 现货 预订 智能手机 双核1G,消费者保障,无七天退换,"月售3笔	3条评价",山东 临沂,849.00        运费：22.00,sunnyxsc,3,3
零利润！包邮Lenovo/联想 A390E安卓CDMA天翼电信3G智能手机正品,"消费者保障	七天退换",七天退换,"月售6笔	4条评价",广东 深圳货到付款,400.00        运费：0.01           信用卡,远航数码专营店2009,6,4
国际品牌 关爱心GS88 彩屏 老年手机 正品老人手机 大字体老人机,"消费者保障	七天退换",七天退换,"月售2笔	17条评价",浙江 杭州,105.00        运费：0.00           信用卡,周宏亮,2,17
天时达T629女生翻盖手机 双卡双待 手机QQ 正品行贷,消费者保障,无七天退换,,山东 济南,225.00        运费：15.00,陈陈碧玲,0,0
OPPOA127 正品行货 OPPO A127时尚音乐手机 7天包退换 包邮,"消费者保障	七天退换",七天退换,"月售56笔	69条评价",广东 深圳,360.04        运费：0.00,橙果数码通讯,56,69
ZTE/中兴 N760 电信3G 安卓2.3操作系统 wifi 正品行货 智能手机,"消费者保障	七天退换",七天退换,"月售5笔	11条评价",广东 深圳货到付款,280.00        运费：10.00           信用卡,星星通讯668,5,11
三盟n8 三盟S908 老人机大字大声防摔 三防老人手机 老年人手机彩,"消费者保障	七天退换",七天退换,"月售2笔	13条评价",广东 深圳,169.00        运费：8.00,辉煌数码999,2,13
冲钻包邮AUX/奥克斯M229手机正品行货超长待机大字体大音量老人机,消费者保障,无七天退换,"月售18笔	26条评价",北京,169.00        运费：0.00           信用卡,greenon,18,26
Samsung/三星 Galaxy Mini S5570 原装行货 安卓2.3智能手机,"消费者保障	七天退换",七天退换,"月售2笔	7条评价",广东 深圳,592.90        运费：0.01,焦点数码行,2,7
Sony Ericsson/索尼爱立信 T707 翻盖3G音乐手机 送电<e6><b1>,消费者保障,无七天退换,"月售106笔	124条评价",广东 深圳,165.00        运费：0.00,沧o七夜,106,124
特价优惠 BBK/步步高 V1 VIVO  S3 正品 安卓2.3智能手机低价销售,"消费者保障	七天退换",七天退换,"月售58笔	77条评价",广东 深圳货到付款,700.00        运费：0.00           信用卡,太多的无奈xu,58,77
假一赔十★本市送货★Coolpad/酷派 7019 3G手机手机 W7019行货,"消费者保障	七天退换",七天退换,,北京,570.00        运费：16.00           信用卡,九九运通,0,0
包邮 正品行货全国联保ZTE/中兴 V889D手机,消费者保障,无七天退换,,上海,799.00        运费：0.00,jin553277177,0,0
【全新正品】HEDY七喜D13 全触屏直板商务手机 双卡双待 全国联保,消费者保障,无七天退换,"月售53笔	25条评价",广东 广州,180.00        运费：12.00,七喜手机产品,53,25
天星N800 4.3寸电容屏 GPS智能安卓4.0手机 mtk6575 迷你N8000,"消费者保障	七天退换",七天退换,"月售2笔	4条评价",浙江 金华货到付款,782.00        运费：10.00           信用卡,鹏洲数码,2,4
电信天翼W689双模双待双网CDMA翻盖手机TOM猫水果忍者 K888,"消费者保障	七天退换",七天退换,"月售8笔	38条评价",广东 深圳货到付款,420.00        运费：15.00           信用卡,xmx20,8,38
包邮 Nokia/诺基亚 1010 双卡双待 直板 支持MP3 老人手机 收音机,"消费者保障	七天退换",七天退换,,广东 深圳,202.95        运费：0.00           信用卡,买把称,0,0
千载良机 冰点低价LG P970 optimus black 安卓智能手机送礼包邮,消费者保障,无七天退换,"月售17笔	19条评价",广东 深圳,950.13        运费：0.00,哈罗c优,17,19
Lenovo/联想 A750 双卡双待安卓智能手机3G正品直板非常手机触屏,"消费者保障	七天退换",七天退换,"月售15笔	5条评价",浙江 杭州货到付款,742.50        运费：0.00           信用卡,精品风尚生活馆,15,5
美版4s手机触摸触摸屏200像素女生老年儿童系统【买多少送多少】,"消费者保障	七天退换",七天退换,月售2笔,广东 深圳,415.00        运费：0.00           信用卡,zang7572,2,0
正品摩托罗拉 V3  V3ie翻盖手机Motorola/摩托罗拉 WX270台,"消费者保障	七天退换",七天退换,"月售2笔	54条评价",广东 深圳,100.00        运费：0.00,好运来数码01,2,54
HTC Z520E One S one X V安卓4.0智能手机 双核 电容屏 手机,消费者保障,无七天退换,"月售21笔	12条评价",广东 深圳,1560.00        运费：0.00           折扣,chenchenchen2000,21,12
正品安卓Android4.0智能手机 GPS导航+3D游戏+可语音发短信打电话,"消费者保障	七天退换",七天退换,"月售18笔	82条评价",广东 深圳货到付款,722.00        运费：15.00           信用卡折扣,酷歌数码,18,82
【现货包顺丰】Lenovo/联想 A750双卡双待手机 联保正品 刷纯净版,"消费者保障	七天退换",七天退换,"月售5笔	22条评价",广东 深圳货到付款,788.00        运费：0.00           信用卡,掘金数码,5,22
Sony/索尼 MT25i Xperia neo L 安卓4.0大屏幕只能手机顺丰包邮,"消费者保障	七天退换",七天退换,"月售1笔	1条评价",广东 深圳,1450.00        运费：0.00,hittman,1,1
Apple/苹果 iPhone 4S(无锁)16g 未激活国行大陆行货手机正品包邮,"消费者保障	假一赔三	七天退换",七天退换,"月售26笔	105条评价",广东 深圳,3919.70        运费：0.00           信用卡,秋园数码,26,105
Samsung/三星 B5702C 正品行货 双通手机 送8G+立即返减现金160元,"消费者保障	七天退换",七天退换,"月售145笔	146条评价",广东 深圳,589.00        运费：0.00           信用卡折扣,明通数码a,145,146
Samsung/三星 Galaxy Mini S5570 安卓智能3G手机,消费者保障,无七天退换,,上海,970.00        运费：12.00           信用卡,hppy2008118,0,0
情侣双模双待电信移动双网滑盖GSM/CDMA电信天翼3G手机正品半智能,"消费者保障	七天退换",七天退换,"月售6笔	5条评价",广东 深圳货到付款,341.05        运费：0.00           信用卡折扣,深安精品柜,6,5
Nokia/诺基亚 1280手机 全新 大陆行货 正品 发票 全国联保,"消费者保障	七天退换",七天退换,,江苏 苏州货到付款,150.00        运费：10.00           信用卡,淘客三千,0,0
国产4s非高仿山寨双卡双待半智能 触屏非尼彩手机,"消费者保障	七天退换",七天退换,"月售57笔	15条评价",广东 深圳,100.00        运费：15.00,dengyan52088,57,15
Coolpad/酷派 5820 电信天翼CDMA 3G智能手机 全新原装正品,消费者保障,无七天退换,,广东 东莞,500.00        运费：15.00           信用卡,sonya907,0,0
Huawei/华为 C8500S 电信天翼CMDA 3G智能手机 全新原装正品,消费者保障,无七天退换,,广东 东莞,460.00        运费：15.00           信用卡,sonya907,0,0
包邮 Motorola/摩托罗拉 ME525/MB525 手机,消费者保障,无七天退换,,上海,1290.00        运费：0.00,刹那樱花8,0,0
包邮现货 Nokia/诺基亚 C5-03手机 欧版,消费者保障,无七天退换,,上海,1330.00        运费：0.00,刹那樱花8,0,0
HTC T320E G24 One V 智能3G手机 WIFI/GPS/蓝牙/500W/3.7寸屏幕,消费者保障,无七天退换,,广东 深圳,1576.00        运费：13.00,啊mou,0,0
包邮 现货 Samsung/三星 Galaxy Mini S5570 手机 欧版,消费者保障,无七天退换,,上海货到付款,980.00        运费：0.00           信用卡,13277782103黄智,0,0
打折促销特价Huawei/华为 C7100全触摸手写电信天翼手机！,消费者保障,无七天退换,"月售4笔	3条评价",广东 深圳,130.00        运费：10.00,甜美紫罗兰,4,3
Samsung/三星 S5368 Galaxy Y移动版 智能手机 WIFI/电视功能/QQ,消费者保障,无七天退换,,广东 深圳,800.00        运费：18.00,啊mou,0,0
BBK/步步高 V303 音乐手机 双卡正品 七天退换 特价包邮 正品行货,"消费者保障	七天退换",七天退换,"月售36笔	34条评价",广东 深圳货到付款,490.00        运费：0.00           信用卡,太多的无奈xu,36,34
BBK/步步高 i606 青韵化蝶 正品行货 音乐手机 【包邮】,"消费者保障	七天退换",七天退换,"月售16笔	12条评价",广东 深圳货到付款,500.00        运费：0.00           信用卡,太多的无奈xu,16,12
情侣双模双待电信移动双网滑盖GSM/CDMA电信天翼3G手机正品半智能,"消费者保障	七天退换",七天退换,"月售6笔	5条评价",广东 深圳货到付款,341.05        运费：0.00           信用卡折扣,深安精品柜,6,5
Nokia/诺基亚 1280手机 全新 大陆行货 正品 发票 全国联保,"消费者保障	七天退换",七天退换,,江苏 苏州货到付款,150.00        运费：10.00           信用卡,淘客三千,0,0
国产4s非高仿山寨双卡双待半智能 触屏非尼彩手机,"消费者保障	七天退换",七天退换,"月售57笔	15条评价",广东 深圳,100.00        运费：15.00,dengyan52088,57,15
Nokia/诺基亚 C2-06/C5-05/03/c6-02/女款直板学生双卡情侣手机1,"消费者保障	七天退换",七天退换,"月售93笔	30条评价",广东 深圳货到付款,138.00        运费：15.00,时代_数码,93,30
全新Sony/索尼 LT22i Xperia P双核 安卓 智能手机 正品 现货包邮,"消费者保障	七天退换",七天退换,,广东 深圳,2111.00        运费：0.00           信用卡,hisenxiao520,0,0
安卓4.0智能手机天星N8000+/N8000双卡5寸电容屏MTK6575 MTK6577,"消费者保障	七天退换",七天退换,"月售14笔	24条评价",浙江 金华货到付款,763.60        运费：10.00           信用卡,鹏洲数码,14,24
【团购价】koobee/酷比K35 蝶恋花 时尚音乐手机 翻盖 正品行货,消费者保障,无七天退换,"月售7笔	2条评价",江苏 苏州,340.00        运费：0.00           信用卡,呵呵改子,7,2
国产小M1米半智能安卓超薄直板双卡双待男女士触屏手机SK M816,消费者保障,无七天退换,"月售136笔	65条评价",广东 深圳货到付款,215.00        运费：0.00,爱淘淘数码港88,136,65
斐讯FWS610 触屏安卓智能男女款手机 wifi 国产正品行货 包邮,"消费者保障	七天退换",七天退换,,山东 济南,455.00        运费：0.00,zgpzgpzgp0,0,0
htc原装G29手机双核1.5G 双卡双待 安卓智能手机 G26/G28官网验证,消费者保障,无七天退换,"月售107笔	74条评价",广东 深圳,1240.20        运费：0.00           信用卡,xiexinhua5201314,107,74
K-Touch/天语 M610行货 双卡双待超薄音乐手机 颜色齐全包邮,"消费者保障	七天退换",七天退换,,北京,345.00        运费：0.00           信用卡,悠悠小米草,0,0
Daxian/大显L002 003双卡老人待机王 大字体老年 老人手机 包邮,"消费者保障	七天退换",七天退换,"月售5笔	21条评价",浙江 温州,168.00        运费：0.00           信用卡,化妆品no2,5,21
HTC V9899 霹雳2代G21双模双待天翼CDMA电信手机 安卓3G智能手机,"消费者保障	七天退换",七天退换,月售2笔,广东 深圳,1394.40        运费：10.00           折扣,红月情缘,2,0
包邮倾心G20 G18安卓系统智能手机双卡双待WIFI 电容屏Android2.3,"消费者保障	七天退换",七天退换,月售2笔,广东 深圳货到付款,490.00        运费：0.00,gf0663,2,0
假一赔十★本市送货★Coolpad/酷派 7260 3G手机 大陆行货,"消费者保障	七天退换",七天退换,,北京,699.00        运费：16.00           信用卡,九九运通,0,0
邦华E3手机 高档电容屏手机 正品专卖 送8G卡 全国包邮 专柜正品,"消费者保障	七天退换",七天退换,"月售1笔	12条评价",广东 深圳货到付款,629.00        运费：0.00           信用卡,李德先,1,12
Nokia/诺基亚 2220s ■原装正品■时尚小巧超薄滑盖手机 包邮,"消费者保障	七天退换",七天退换,"月售7笔	8条评价",广东 深圳,168.00        运费：0.00           信用卡,鑫凯诺,7,8
金立 M506 有乐有精彩 精美时尚音乐手机,"消费者保障	七天退换",七天退换,,广东 惠州,799.00        运费：0.00           信用卡,mfgy5240,0,0
Gionee/金立 A320 双卡超长待机 语音王至尊手机,"消费者保障	七天退换",七天退换,,广东 惠州,999.00        运费：0.00           信用卡,mfgy5240,0,0
