"V1","V2","V3","V4","V5"
962,3390564,5053508,"pv",1511764154
962,3277097,5053508,"pv",1511764931
962,3390564,5053508,"pv",1511765016
962,1098011,5053508,"pv",1511765086
962,3390564,5053508,"cart",1511765714
962,1581828,4145813,"pv",1511766398
962,3629316,4145813,"pv",1511766424
962,698684,3002561,"pv",1511766448
962,4089470,4217906,"pv",1511766507
962,1431685,4217906,"pv",1511766522
962,3403680,2195789,"pv",1511781587
962,1005315,3065645,"pv",1511789419
962,1581828,4145813,"pv",1512188444
962,1431685,4217906,"pv",1512196133
962,1170078,4756105,"pv",1512198972
962,3082235,4756105,"pv",1512199120
962,1581828,4145813,"pv",1512281858
1769,3952971,4181361,"pv",1511603797
1769,623673,4181361,"pv",1511603858
1769,1841181,4756105,"pv",1511604044
1769,4030292,3102419,"pv",1511604218
1769,2423243,3299155,"pv",1511604246
1769,4815811,154040,"pv",1511604283
1769,403385,154040,"pv",1511604334
1769,390721,154040,"pv",1511604360
1769,403385,154040,"pv",1511604363
1769,4056611,2629787,"pv",1511604437
1769,4524970,2355072,"pv",1511788948
1769,3952971,4181361,"pv",1511788983
1769,5029600,3004853,"pv",1511789223
1769,2532825,4690421,"pv",1511789360
1769,4196201,737184,"pv",1511789377
1769,2057067,3607361,"pv",1511789411
1769,735563,3177764,"pv",1511961492
1769,4936250,3177764,"pv",1511961516
1769,4800955,2800021,"pv",1511961615
1769,4539680,2800021,"pv",1511961631
1769,3195281,2800021,"pv",1511961707
1769,4800955,2800021,"pv",1511961791
1769,4938930,982926,"pv",1511961964
1769,2431059,4181361,"cart",1511962114
1769,850914,154040,"pv",1511962155
1769,2946955,4145813,"pv",1511962206
1769,2667139,2735466,"cart",1512027564
1769,5114389,982926,"pv",1512027618
1769,4450784,2735466,"cart",1512027659
1769,4296172,4181361,"pv",1512027747
1769,3527211,2355072,"pv",1512027797
1769,2946955,4145813,"pv",1512049326
1769,2976608,4181361,"pv",1512049439
1769,3249675,154040,"pv",1512049633
1769,221945,154040,"pv",1512049640
1769,3249675,154040,"pv",1512049644
1769,2202641,4173315,"pv",1512049668
1769,3249675,154040,"pv",1512049682
1769,1629990,982926,"pv",1512049694
1769,3645520,4756105,"pv",1512049713
1769,1034732,1575622,"pv",1512049849
1769,4008473,154040,"pv",1512049856
1769,1034732,1575622,"pv",1512049870
1769,2431059,4181361,"pv",1512050143
1769,2221233,4145813,"pv",1512050213
1769,535974,1320293,"pv",1512050222
1769,4524970,2355072,"pv",1512050267
1769,4413426,4145813,"pv",1512050319
1769,4297557,2520377,"pv",1512050376
1769,4952446,4181361,"pv",1512050664
1769,2107011,4145813,"pv",1512050807
1769,3798666,965809,"pv",1512053661
1769,4590625,154040,"pv",1512053707
1769,4362654,4145813,"pv",1512053752
1769,1077828,965809,"pv",1512053802
1769,443796,4145813,"pv",1512053857
1769,1336036,4145813,"pv",1512053863
1769,443796,4145813,"pv",1512053871
1769,4215666,4145813,"pv",1512053878
1769,443796,4145813,"pv",1512053890
1769,4938930,982926,"pv",1512053942
1769,4386633,1320293,"pv",1512054020
1769,1233296,1575622,"pv",1512054082
1769,2500653,4145813,"pv",1512054196
1769,2285862,3102419,"pv",1512054236
1769,4729424,4181361,"pv",1512132783
1769,25153,1575622,"pv",1512132851
1769,2489118,1575622,"pv",1512132897
1769,3157218,2735466,"pv",1512132929
1769,3684087,965809,"pv",1512133855
1769,4322882,965809,"pv",1512134249
1769,4190165,965809,"pv",1512134366
1769,769532,965809,"cart",1512134456
1769,594131,965809,"pv",1512134491
1769,769532,965809,"pv",1512134527
1769,4656256,965809,"pv",1512134553
1769,237246,965809,"pv",1512134589
1769,783515,965809,"pv",1512134593
1769,3711497,965809,"pv",1512134638
1769,3582893,883960,"pv",1512134644
1769,3044640,1575622,"pv",1512134704
1769,2116688,2735466,"pv",1512134707
1769,2684583,2520771,"pv",1512134895
1769,2619726,1575622,"pv",1512134949
1769,904089,965809,"pv",1512134989
1769,73081,154040,"pv",1512134991
1769,768301,4756105,"pv",1512195135
1769,2257452,4756105,"pv",1512195266
1769,1305040,1575622,"pv",1512218257
1769,2353496,154040,"pv",1512218365
1769,2079682,4756105,"pv",1512218382
1769,4092937,4756105,"pv",1512218438
1769,3866744,154040,"pv",1512218449
1769,1687681,982926,"pv",1512218471
1769,137934,2355072,"pv",1512218602
1769,3999531,4181361,"pv",1512218801
1769,2709184,982926,"pv",1512218833
1769,572799,1320293,"pv",1512218942
1769,2976608,4181361,"pv",1512219094
1769,4296172,4181361,"pv",1512219110
1769,2976608,4181361,"pv",1512219114
1769,1144500,982926,"pv",1512219166
1769,2897794,154040,"pv",1512219184
1769,4176022,3607361,"pv",1512219210
1769,149451,4145813,"pv",1512219223
1769,4729424,4181361,"pv",1512219265
1769,4242862,3002561,"pv",1512219623
1769,3345779,4145813,"pv",1512219831
1769,2482370,4145813,"pv",1512220136
1769,4030450,3065645,"pv",1512220367
1769,4616636,4181361,"pv",1512220873
1769,5150024,3002561,"pv",1512220920
1769,4480617,4756105,"pv",1512220954
1769,2319720,4181361,"pv",1512221072
1769,2413384,1575622,"pv",1512221169
1769,3979197,2629787,"pv",1512221282
1769,4168940,2920476,"pv",1512221341
1769,535974,1320293,"pv",1512221384
1769,3608070,1320293,"pv",1512221428
1769,1034732,1575622,"pv",1512299674
1769,830474,1320293,"pv",1512299697
1769,2192186,4181361,"pv",1512299870
1769,1983360,4358294,"pv",1512299990
1769,4366313,4358294,"pv",1512300000
1769,1983360,4358294,"pv",1512300003
1769,2121865,4358294,"pv",1512300025
1769,1983360,4358294,"pv",1512300060
1769,4013367,1320293,"pv",1512300093
1769,3910897,4358294,"pv",1512300131
1769,2788077,2693696,"pv",1512300196
1769,4459111,2693696,"pv",1512302244
1769,1687681,982926,"pv",1512311360
1769,4296172,4181361,"pv",1512311370
1769,4811592,384755,"pv",1512311391
1769,2273163,384755,"pv",1512311482
1769,1532170,2520771,"pv",1512311500
1769,3795943,384755,"pv",1512311535
1769,1816123,384755,"pv",1512311549
1769,4540826,4756105,"pv",1512311645
1769,3053019,384755,"pv",1512314679
1769,603551,384755,"pv",1512314740
1769,3533329,4181361,"pv",1512314746
1769,4544421,384755,"pv",1512314779
3146,324146,1905278,"pv",1511574897
3146,3191460,1905278,"pv",1511705801
3146,324146,1905278,"pv",1511706032
3146,634389,1722855,"pv",1511714734
3146,2344642,3800818,"fav",1511715183
3146,3883990,1905278,"fav",1511953266
3146,386157,1722855,"pv",1512042529
3146,3883990,1905278,"pv",1512042862
3146,324146,1905278,"pv",1512042885
3146,3883990,1905278,"pv",1512043160
3146,4684163,211810,"pv",1512098777
3146,2581109,1905278,"pv",1512147090
3146,2418617,924708,"pv",1512147367
3146,1430840,1722855,"pv",1512148727
3146,1763661,1722855,"pv",1512149014
3146,324146,1905278,"pv",1512149157
3146,3785788,1722855,"pv",1512181933
3146,952554,1722855,"pv",1512182291
3146,5117688,1722855,"pv",1512182496
3146,952554,1722855,"pv",1512182814
3146,319354,1722855,"pv",1512182835
3146,699947,1722855,"pv",1512182849
3146,4502691,1722855,"pv",1512182994
3146,882987,1722855,"pv",1512183310
3146,4502691,1722855,"pv",1512183312
3146,779670,2465336,"buy",1512197114
3146,4071228,1722855,"fav",1512198034
3146,4229845,1722855,"pv",1512215099
3146,2033004,1722855,"pv",1512215262
3146,4071228,1722855,"pv",1512215374
3146,3883990,1905278,"pv",1512215662
3146,324146,1905278,"pv",1512215812
3146,4071228,1722855,"pv",1512215877
3146,3883990,1905278,"pv",1512216009
3146,324146,1905278,"pv",1512216023
3146,5117688,1722855,"pv",1512216094
3146,699947,1722855,"fav",1512217233
3146,4723048,2462567,"pv",1512226248
3146,699947,1722855,"pv",1512226704
3146,779670,2465336,"pv",1512274073
3146,699947,1722855,"pv",1512294846
4647,2366317,4756105,"pv",1511611490
4647,422122,4217906,"pv",1511611552
4647,3972542,4217906,"cart",1511611995
4647,332775,4756105,"pv",1511667745
4647,1520382,4217906,"pv",1511673345
4647,4740649,4217906,"pv",1511674150
4647,2602057,3410245,"buy",1511695559
4647,154624,4801426,"pv",1511752664
4647,2615886,4756105,"pv",1511756289
4647,2595715,4801426,"cart",1511778570
4647,2668115,4801426,"pv",1511778661
4647,2209940,4217906,"pv",1511869851
4647,505648,4756105,"pv",1511870144
4647,4648707,4801426,"pv",1511870193
4647,3200836,2355072,"pv",1511870222
4647,3115406,4801426,"pv",1511870259
4647,3766060,1567637,"pv",1511870932
4647,154624,4801426,"pv",1511909745
4647,308795,4801426,"pv",1511909787
4647,2711275,4145813,"pv",1511929457
4647,5111041,2297500,"pv",1511959439
4647,2711275,4145813,"cart",1512013876
4647,2013264,1467750,"pv",1512099763
4647,2676634,1464116,"pv",1512100276
4647,4139996,411153,"pv",1512100503
4647,2852741,1464116,"pv",1512171892
4647,779670,2465336,"cart",1512197635
4647,4951741,4145813,"pv",1512201909
4647,4006184,4145813,"pv",1512201976
4647,3916738,2013232,"cart",1512212006
4647,2532742,2465336,"pv",1512212613
4647,4071414,2520377,"pv",1512254691
4647,2781924,4801426,"cart",1512297630
4647,3613979,3002561,"pv",1512299182
4647,5160396,2520771,"pv",1512299241
4647,1022833,2465336,"pv",1512299252
4647,3512668,4145813,"pv",1512299511
4647,3233904,4145813,"pv",1512301125
5244,492419,2520377,"pv",1511646648
5244,3463349,982926,"pv",1511646670
5244,2140842,1320293,"pv",1511646678
5244,2370518,982926,"pv",1511646682
5244,492419,2520377,"pv",1512104188
5244,4904634,2520377,"pv",1512116613
5244,4258782,4801426,"pv",1512116761
5244,762541,4170419,"pv",1512118940
5244,4453394,4170419,"pv",1512118976
5244,1761447,1457367,"pv",1512139795
5244,531569,4339722,"pv",1512139862
5244,4793848,4512393,"pv",1512139918
5244,3484442,1457367,"pv",1512139933
5244,451754,1029459,"pv",1512169443
5244,3101307,1029459,"pv",1512169456
5244,3915828,245312,"pv",1512170343
5244,4914706,245312,"pv",1512170359
5244,2614361,1029459,"pv",1512171717
5244,1997229,1029459,"pv",1512171725
5244,451754,1029459,"pv",1512171749
5244,1313733,1029459,"pv",1512171754
5244,3999630,1029459,"pv",1512171768
5244,1811602,1029459,"pv",1512171782
5244,3315014,1029459,"pv",1512171799
5244,2614361,1029459,"pv",1512171868
5244,3186317,1029459,"pv",1512171881
5244,1104980,1029459,"pv",1512171890
5244,2137020,1029459,"pv",1512171984
5244,2851339,245312,"cart",1512172330
5244,4876800,4801426,"pv",1512183017
5244,4635893,4801426,"pv",1512183048
5244,2339589,4801426,"pv",1512183065
5244,4792331,4801426,"pv",1512183208
5244,312225,4462359,"pv",1512258493
5244,4524717,4462359,"pv",1512258632
7653,3264111,2188684,"pv",1511777728
7653,4429956,2778281,"pv",1511830161
7653,3264111,2188684,"pv",1511830169
7653,3264111,2188684,"pv",1512121759
7653,3780458,3758209,"pv",1512122365
7653,3036959,801221,"pv",1512122439
7653,2931320,801221,"pv",1512122515
7653,2359460,200278,"buy",1512122736
7653,2931320,801221,"pv",1512122784
7653,2359460,200278,"pv",1512122787
7653,4692628,2188684,"pv",1512123231
7653,4754120,2096639,"pv",1512123271
7653,4590889,119741,"pv",1512123510
7653,245969,119741,"pv",1512123580
7653,3537427,119741,"pv",1512123647
7653,4590889,119741,"buy",1512123746
7653,1081218,801221,"pv",1512123840
7653,4590889,119741,"pv",1512123875
7653,34744,119741,"pv",1512203257
7653,4385899,2188684,"buy",1512209657
7653,2931320,801221,"pv",1512209740
7653,3703861,4919077,"pv",1512210102
7653,3264111,2188684,"pv",1512210114
7653,4385899,2188684,"pv",1512212830
7653,1487620,2096639,"pv",1512262646
7653,2905620,2096639,"pv",1512262665
7653,3264111,2188684,"pv",1512303360
7653,4385899,2188684,"pv",1512303417
7653,1487620,2096639,"pv",1512303441
7653,2359460,200278,"pv",1512305009
7653,4385899,2188684,"buy",1512305513
9792,3284367,381850,"pv",1511600238
9792,2899675,3189162,"pv",1511609651
9792,3284367,381850,"pv",1511619864
9792,5162490,4160459,"pv",1511658282
9792,322975,4160459,"pv",1511658296
9792,3669935,4160459,"pv",1511658312
9792,583803,4160459,"pv",1511658332
9792,1364110,4160459,"pv",1511658379
9792,505469,4160459,"pv",1511658414
9792,3362632,4160459,"pv",1511658445
9792,3507499,4160459,"cart",1511658503
9792,2697091,4160459,"pv",1511658534
9792,1226813,4160459,"pv",1511658592
9792,1089638,4743234,"pv",1511658639
9792,1100290,3738615,"pv",1511685539
9792,1129209,3738615,"pv",1511686056
9792,1100290,3738615,"pv",1511692544
9792,838369,2096639,"pv",1511702712
9792,3017678,3177877,"pv",1511708446
9792,2718668,3177877,"pv",1511708496
9792,3361685,3177877,"pv",1511708521
9792,1772158,3177877,"pv",1511708593
9792,192835,3177877,"pv",1511708599
9792,1391677,3177877,"pv",1511708610
9792,607606,3177877,"pv",1511708692
9792,3116199,3177877,"pv",1511708696
9792,4114491,3108044,"cart",1511708762
9792,3754991,3177877,"cart",1511708886
9792,861009,3177877,"cart",1511708960
9792,615541,3177877,"pv",1511709052
9792,2771665,3177877,"pv",1511709078
9792,4915979,3108044,"pv",1511709112
9792,4877061,3177877,"pv",1511709198
9792,3754991,3177877,"pv",1511744427
9792,607606,3177877,"pv",1511744532
9792,4114491,3108044,"pv",1511744558
9792,4915979,3108044,"pv",1511744566
9792,4309220,3253210,"pv",1511744714
9792,5162490,4160459,"cart",1511842795
9792,2697091,4160459,"pv",1511842850
9792,1364110,4160459,"pv",1511842884
9792,386802,3776866,"cart",1511842963
9792,5162490,4160459,"pv",1511842984
9792,1298464,4160459,"pv",1511843028
9792,5162490,4160459,"pv",1511845653
9792,874039,4160459,"pv",1511845693
9792,1126664,4160459,"pv",1511845718
9792,5162490,4160459,"pv",1511845721
9792,1126664,4160459,"pv",1511845756
9792,5162490,4160459,"pv",1511845757
9792,3544485,724320,"pv",1511845894
9792,3402036,4160459,"pv",1511845923
9792,5162490,4160459,"pv",1511845982
9792,874039,4160459,"pv",1511846170
9792,5162490,4160459,"pv",1511846182
9792,874039,4160459,"pv",1511846239
9792,1126664,4160459,"pv",1511846246
9792,5162490,4160459,"pv",1511846247
9792,11659,4743234,"cart",1511846316
9792,4945801,4743234,"pv",1511846466
9792,2816521,4743234,"pv",1511846492
9792,11659,4743234,"cart",1511846853
9792,5162490,4160459,"pv",1511849149
9792,5105304,181182,"pv",1511859319
9792,3043529,181182,"pv",1511859377
9792,1199082,181182,"pv",1511859474
9792,4456634,2735466,"cart",1511863378
9792,3432097,2735466,"pv",1511863428
9792,1564813,2735466,"cart",1511863574
9792,5094786,2735466,"cart",1511863677
9792,3914901,2735466,"pv",1511863710
9792,289151,4801426,"pv",1511863879
9792,4961999,2735466,"pv",1511863996
9792,1137502,2735466,"pv",1511864069
9792,1565339,2735466,"pv",1511864186
9792,2392752,2735466,"pv",1511864205
9792,702581,2735466,"pv",1511864217
9792,2050723,4242717,"pv",1511864591
9792,3768932,1859277,"pv",1511868152
9792,1863969,4801426,"pv",1511868229
9792,497481,4801426,"pv",1511868317
9792,3529265,4801426,"pv",1511868350
9792,796957,4801426,"pv",1511868352
9792,3730,4801426,"pv",1511868367
9792,3440527,4801426,"pv",1511868383
9792,4876800,4801426,"pv",1511868395
9792,3057878,4801426,"pv",1511868434
9792,3529265,4801426,"pv",1511868493
9792,1367188,4801426,"pv",1511868539
9792,4169106,4801426,"pv",1511868579
9792,369855,4801426,"pv",1511868603
9792,3381063,4801426,"pv",1511868705
9792,4833482,4801426,"pv",1511868729
9792,11659,4743234,"pv",1511879160
9792,1071927,243423,"pv",1511884347
9792,4456634,2735466,"pv",1511884916
9792,2719810,2926020,"pv",1511885572
9792,3078915,4801426,"pv",1511885578
9792,237522,4801426,"pv",1511915430
9792,4449621,2735466,"pv",1511915521
9792,4550052,4217906,"pv",1511915598
9792,1823272,4801426,"cart",1511915777
9792,4518981,1792277,"pv",1511916018
9792,3192075,4098379,"pv",1511916027
9792,4359410,4743234,"pv",1511916058
9792,4799487,2520377,"pv",1511916089
9792,1914242,1792277,"pv",1511916170
9792,2353009,4048584,"pv",1511916363
9792,174065,2087597,"pv",1511916390
9792,3766115,3788576,"pv",1511916445
9792,3855997,4993094,"pv",1511916517
9792,742625,3738615,"pv",1511916522
9792,2671601,3123784,"pv",1511916586
9792,3057878,4801426,"pv",1511928911
9792,5094786,2735466,"pv",1511929151
9792,2303733,2735466,"pv",1511929230
9792,3473055,2735466,"pv",1511961730
9792,5094786,2735466,"pv",1511961989
9792,1255805,4743234,"pv",1512006930
9792,11659,4743234,"cart",1512037441
9792,4114491,3108044,"pv",1512113951
9792,11659,4743234,"pv",1512113969
9792,1590552,2885642,"pv",1512178580
9792,440774,2520377,"pv",1512178683
9792,1996910,2640118,"pv",1512179388
9792,471361,2640118,"pv",1512179560
9792,3179897,2640118,"pv",1512179792
9792,1996910,2640118,"pv",1512179821
9792,309198,1029459,"pv",1512203266
9792,4678066,2640118,"pv",1512215891
9792,2910136,2520377,"pv",1512215939
9792,764155,2520377,"pv",1512216041
9792,2672940,2520377,"pv",1512216073
9792,1295929,1888306,"pv",1512216151
9792,3769370,1888306,"pv",1512216156
9792,3748635,1888306,"pv",1512216163
9792,767986,1888306,"pv",1512216193
9792,228705,1888306,"pv",1512216207
9792,4552775,1888306,"pv",1512216287
9792,1654009,1888306,"pv",1512216294
9792,11659,4743234,"pv",1512216491
9792,1719035,4244487,"pv",1512218888
9792,3886923,4244487,"cart",1512219034
9792,222342,4244487,"cart",1512219115
9792,2248672,4244487,"pv",1512219210
9792,1273049,4244487,"pv",1512219251
9792,1111378,4244487,"cart",1512219343
9792,2310820,4244487,"pv",1512219380
9792,3886923,4244487,"pv",1512219402
9792,4256551,4244487,"pv",1512219416
9792,1111378,4244487,"pv",1512219424
9792,4927282,4244487,"pv",1512219445
9792,3207446,4244487,"pv",1512219496
9792,3886923,4244487,"pv",1512219519
9792,1111378,4244487,"pv",1512219546
9792,222342,4244487,"pv",1512219554
9792,2248672,4244487,"pv",1512219781
9792,4927282,4244487,"pv",1512219793
9792,4256551,4244487,"pv",1512219842
9792,1111378,4244487,"pv",1512219876
9792,222342,4244487,"cart",1512219953
9792,3886923,4244487,"pv",1512225025
9792,4927282,4244487,"pv",1512225113
9792,4766074,4244487,"pv",1512225134
9792,1827430,4244487,"pv",1512225223
9792,1692072,4244487,"pv",1512225243
9792,222342,4244487,"pv",1512258519
9792,1692072,4244487,"pv",1512258703
9792,222342,4244487,"pv",1512258798
9949,2350507,4217906,"pv",1511571135
9949,4770900,4282985,"pv",1511603964
9949,2705968,4282985,"pv",1511604012
9949,104112,4282985,"pv",1511604062
9949,3842403,4282985,"pv",1511604203
9949,1047581,4282985,"pv",1511604290
9949,1912869,4282985,"pv",1511604558
9949,552123,4282985,"pv",1511604574
9949,104112,4282985,"pv",1511604593
9949,1047581,4282985,"fav",1511605105
9949,552123,4282985,"pv",1511607592
9949,1345580,4282985,"pv",1511607726
9949,3620028,4756105,"pv",1511610364
9949,4165290,4801426,"pv",1511610520
9949,3620028,4756105,"pv",1511610570
9949,2994288,4282985,"pv",1511614473
9949,2994288,4282985,"pv",1511614564
9949,4772166,4282985,"cart",1511614668
9949,213605,2465336,"pv",1511655854
9949,324599,3299155,"pv",1511660200
9949,3128133,3299155,"pv",1511660226
9949,127712,3299155,"pv",1511660266
9949,431362,3299155,"pv",1511660278
9949,1117564,1320530,"pv",1511661784
9949,4772166,4282985,"pv",1511666222
9949,4978110,4602841,"pv",1511673337
9949,2814801,2465336,"fav",1511673471
9949,4497520,3299155,"pv",1511673522
9949,2814801,2465336,"pv",1511673527
9949,4114863,4170419,"pv",1511674937
9949,1234236,4170419,"pv",1511677578
9949,3872362,2735466,"pv",1511705836
9949,3559795,3607361,"pv",1511762721
9949,467155,2355072,"fav",1511762939
9949,871823,3607361,"pv",1511763726
9949,3131066,1879194,"pv",1511764867
9949,4294412,1299190,"pv",1511764949
9949,3804472,4801426,"pv",1511785492
9949,4772166,4282985,"pv",1511785611
9949,3245335,4756105,"pv",1511787437
9949,467155,2355072,"pv",1511787528
9949,2052039,174239,"pv",1511844678
9949,856882,174239,"pv",1511844694
9949,42427,2156156,"pv",1511844704
9949,129514,4756105,"pv",1511957142
9949,4397066,1879194,"pv",1511958399
9949,981572,1879194,"fav",1512018005
9949,129514,4756105,"pv",1512018033
9949,1164931,3138705,"pv",1512018389
9949,230380,411153,"pv",1512018529
9949,3243616,4170419,"pv",1512018572
9949,129514,4756105,"pv",1512026487
9949,1224652,3747017,"pv",1512035640
9949,627729,3747017,"pv",1512035652
9949,4520650,3747017,"pv",1512035692
9949,4713794,3747017,"pv",1512035755
9949,1224652,3747017,"pv",1512035834
9949,3179813,1464116,"pv",1512037047
9949,3004746,1464116,"pv",1512037112
9949,4846705,1464116,"pv",1512037134
9949,3764947,1464116,"pv",1512037191
9949,1570908,1464116,"pv",1512037209
9949,1314225,1464116,"pv",1512037215
9949,3764947,1464116,"pv",1512037300
9949,3004746,1464116,"pv",1512037326
9949,1570908,1464116,"cart",1512037348
9949,4671807,4357323,"pv",1512040373
9949,1822094,3208959,"pv",1512040403
9949,131601,2520377,"pv",1512095241
9949,1800419,2520377,"pv",1512095441
9949,1570908,1464116,"pv",1512125419
9949,981572,1879194,"pv",1512177750
9949,966496,2520377,"pv",1512177830
9949,4794446,149192,"pv",1512178706
9949,3025160,149192,"pv",1512179169
9949,3843460,2520377,"pv",1512179358
9949,4809436,149192,"pv",1512184908
9949,981572,1879194,"pv",1512189130
9949,2657895,149192,"pv",1512196176
9949,1967335,2920476,"pv",1512196215
9949,4547737,149192,"pv",1512196301
9949,4547737,149192,"pv",1512196628
9949,634472,2520377,"pv",1512196772
9949,5043210,2520377,"pv",1512196801
9949,981572,1879194,"pv",1512196838
9949,2502213,2520377,"pv",1512197984
9949,5114883,2920476,"pv",1512198023
9949,2251553,3607361,"pv",1512198091
9949,3074842,2355072,"fav",1512198396
9949,981572,1879194,"pv",1512198403
9949,2034270,4801426,"pv",1512198520
9949,981572,1879194,"pv",1512198579
9949,1285856,2131531,"pv",1512198705
9949,4573050,2131531,"pv",1512198728
9949,2334348,2920476,"pv",1512198782
9949,3656959,2920476,"pv",1512198824
9949,1285856,2131531,"fav",1512199045
9949,3074842,2355072,"pv",1512199292
9949,1182672,3102419,"pv",1512215309
9949,4718625,3102419,"pv",1512215325
9949,872090,4145813,"pv",1512215343
9949,2873809,3102419,"fav",1512215420
9949,981572,1879194,"pv",1512215422
9949,2873809,3102419,"pv",1512215432
9949,4786251,2465336,"fav",1512215851
9949,981572,1879194,"pv",1512215863
9949,4786251,2465336,"cart",1512215863
9949,943203,3102419,"cart",1512215939
9949,981572,1879194,"pv",1512215978
9949,4786251,2465336,"pv",1512282769
9949,943203,3102419,"pv",1512290853
9949,4786251,2465336,"pv",1512290860
9949,3074842,2355072,"pv",1512291126
9949,1285856,2131531,"cart",1512294611
9949,943203,3102419,"pv",1512296336
9949,985357,411153,"pv",1512298666
9949,1084277,3407883,"pv",1512298670
9949,985357,411153,"pv",1512298672
9949,4469920,3138705,"pv",1512298676
9949,985357,411153,"pv",1512298679
9949,254437,1817004,"pv",1512298690
9949,2369485,285583,"pv",1512298834
9949,1285856,2131531,"pv",1512298909
9949,4786251,2465336,"pv",1512301061
9949,1285856,2131531,"pv",1512301103
9949,2873809,3102419,"pv",1512301185
9949,467155,2355072,"pv",1512301228
9949,401274,4357323,"pv",1512301281
9949,2147802,1320293,"pv",1512301629
9949,2477222,2355072,"pv",1512301758
10096,244039,2892802,"pv",1511771046
10096,4441923,622168,"pv",1511783712
10096,244039,2892802,"pv",1511863386
10096,1341164,550660,"pv",1511946500
10096,244039,2892802,"pv",1511963096
10096,5159267,440901,"pv",1512011570
10096,244039,2892802,"pv",1512023552
10096,1341164,550660,"pv",1512055332
10096,4854601,4509358,"pv",1512055753
10096,4854601,4509358,"pv",1512055935
10096,4829878,2892802,"pv",1512055979
10096,2054434,411153,"pv",1512056061
10096,4700949,2293367,"pv",1512056131
10096,1772050,2892802,"pv",1512056265
10096,4963843,2892802,"pv",1512056318
10096,1772050,2892802,"pv",1512056481
10096,4963843,2892802,"pv",1512056503
10096,1772050,2892802,"pv",1512056506
10096,4530655,4869428,"pv",1512056534
10096,4315336,550660,"pv",1512056823
10096,2054434,411153,"pv",1512056843
10096,3132726,2892802,"pv",1512057073
10096,572396,2892802,"pv",1512057645
10096,497961,1073768,"pv",1512057832
10096,4215011,2748804,"pv",1512122819
10096,497961,1073768,"pv",1512221597
10096,3404189,4121221,"pv",1512228189
10096,4789115,2892802,"pv",1512286917
10096,2835516,2892802,"pv",1512288496
10096,244039,2892802,"pv",1512302003
10167,2331370,3607361,"pv",1511583165
10167,3403645,3607361,"pv",1511583174
10167,2160657,3351726,"pv",1511583202
10167,2160657,3351726,"pv",1511619967
10167,3057515,4583654,"pv",1511655970
10167,3542877,4583654,"pv",1511656058
10167,1331796,4583654,"pv",1511656089
10167,3057515,4583654,"pv",1511656098
10167,2222611,4583654,"pv",1511656142
10167,3242346,3598912,"buy",1511664460
10167,2688573,3338209,"pv",1511691158
10167,868138,5099474,"pv",1511691184
10167,4896022,381850,"pv",1511770456
10167,140256,2520377,"pv",1511791026
10167,4773588,2520377,"pv",1511791046
10167,3579633,2520377,"pv",1511791107
10167,4505421,2520377,"pv",1511791146
10167,853547,2520377,"pv",1511832484
10167,3597425,3607361,"pv",1511832539
10167,853547,2520377,"pv",1511832545
10167,1589624,2520377,"pv",1511838416
10167,3904879,4242717,"pv",1511852297
10167,2455117,1320293,"pv",1511874873
10167,1224186,1320293,"pv",1511874880
10167,270271,982926,"pv",1511874902
10167,4963563,1320293,"pv",1511874932
10167,3082558,982926,"pv",1511875005
